Textbox_UWAGA2,Textbox_PARAMETRY
PRICE INDICES OF CONSUMER GOODS AND SERVICES BY VOIVODSHIP - QUARTERLY,"Year: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022
Quarter: I-III, IV-VI, VII-IX, X-XII
Territorial unit: POLAND, DOLNOSLASKIE, KUJAWSKO-POMORSKIE, LUBELSKIE, LUBUSKIE, LODZKIE, MALOPOLSKIE, MAZOWIECKIE, OPOLSKIE, PODKARPACKIE, PODLASKIE, POMORSKIE, SLASKIE, SWIETOKRZYSKIE, WARMINSKO-MAZURSKIE, WIELKOPOLSKIE, ZACHODNIOPOMORSKIE
Type of information: previous period = 100"

Textbox28,Textbox76,Textbox78,Textbox82
Table,Chart,Map,Metadata

Textbox5,Textbox6,TOWARY_I_USŁUGI_KONSUMPCYJNE,NAZWA_WOJ,KOD_ROK_KWARTAL_RZYM,WARTOSC_OST_blok51
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2014 I-III,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2014 IV-VI,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2014 VII-IX,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2014 X-XII,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2015 I-III,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2015 IV-VI,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2015 VII-IX,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2015 X-XII,99.8
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2016 I-III,99.6
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2016 IV-VI,100.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2016 VII-IX,100.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2016 X-XII,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2017 I-III,100.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2017 IV-VI,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2017 VII-IX,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2017 X-XII,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2018 I-III,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2018 IV-VI,101.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2018 VII-IX,100.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2018 X-XII,100.5
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2019 I-III,100.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2019 IV-VI,100.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2019 VII-IX,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2019 X-XII,100.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2020 I-III,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2020 IV-VI,100.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2020 VII-IX,101.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2020 X-XII,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2021 I-III,101.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2021 IV-VI,102.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2021 VII-IX,101.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2021 X-XII,102.5
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2022 I-III,103.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2022 IV-VI,103.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",SWIETOKRZYSKIE,2022 VII-IX,102.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2010 I-III,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2010 IV-VI,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2010 VII-IX,99.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2010 X-XII,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2011 I-III,100.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2011 IV-VI,100.8
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2011 VII-IX,100.5
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2011 X-XII,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2012 I-III,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2012 IV-VI,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2012 VII-IX,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2012 X-XII,100.5
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2013 I-III,100.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2013 IV-VI,99.5
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2013 VII-IX,99.8
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2013 X-XII,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2014 I-III,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2014 IV-VI,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2014 VII-IX,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2014 X-XII,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2015 I-III,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2015 IV-VI,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2015 VII-IX,99.6
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2015 X-XII,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2016 I-III,99.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2016 IV-VI,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2016 VII-IX,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2016 X-XII,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2017 I-III,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2017 IV-VI,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2017 VII-IX,99.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2017 X-XII,99.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2018 I-III,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2018 IV-VI,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2018 VII-IX,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2018 X-XII,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2019 I-III,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2019 IV-VI,100.5
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2019 VII-IX,100.6
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2019 X-XII,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2020 I-III,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2020 IV-VI,100.8
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2020 VII-IX,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2020 X-XII,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2021 I-III,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2021 IV-VI,101.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2021 VII-IX,100.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2021 X-XII,102.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2022 I-III,102.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2022 IV-VI,103.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WARMINSKO-MAZURSKIE,2022 VII-IX,102.6
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2010 I-III,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2010 IV-VI,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2010 VII-IX,100.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2010 X-XII,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2011 I-III,101.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2011 IV-VI,100.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2011 VII-IX,100.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2011 X-XII,100.6
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2012 I-III,100.8
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2012 IV-VI,101.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2012 VII-IX,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2012 X-XII,100.5
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2013 I-III,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2013 IV-VI,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2013 VII-IX,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2013 X-XII,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2014 I-III,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2014 IV-VI,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2014 VII-IX,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2014 X-XII,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2015 I-III,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2015 IV-VI,99.8
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2015 VII-IX,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2015 X-XII,99.8
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2016 I-III,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2016 IV-VI,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2016 VII-IX,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2016 X-XII,99.8
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2017 I-III,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2017 IV-VI,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2017 VII-IX,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2017 X-XII,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2018 I-III,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2018 IV-VI,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2018 VII-IX,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2018 X-XII,100.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2019 I-III,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2019 IV-VI,100.6
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2019 VII-IX,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2019 X-XII,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2020 I-III,100.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2020 IV-VI,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2020 VII-IX,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2020 X-XII,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2021 I-III,100.5
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2021 IV-VI,101.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2021 VII-IX,101.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2021 X-XII,102.6
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2022 I-III,102.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2022 IV-VI,103.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",WIELKOPOLSKIE,2022 VII-IX,103.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2010 I-III,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2010 IV-VI,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2010 VII-IX,100.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2010 X-XII,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2011 I-III,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2011 IV-VI,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2011 VII-IX,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2011 X-XII,100.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2012 I-III,100.5
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2012 IV-VI,100.5
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2012 VII-IX,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2012 X-XII,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2013 I-III,100.5
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2013 IV-VI,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2013 VII-IX,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2013 X-XII,100.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2014 I-III,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2014 IV-VI,99.6
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2014 VII-IX,99.6
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2014 X-XII,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2015 I-III,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2015 IV-VI,100.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2015 VII-IX,99.8
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2015 X-XII,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2016 I-III,99.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2016 IV-VI,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2016 VII-IX,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2016 X-XII,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2017 I-III,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2017 IV-VI,99.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2017 VII-IX,99.5
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2017 X-XII,99.6
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2018 I-III,100.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2018 IV-VI,100.1
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2018 VII-IX,99.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2018 X-XII,100.5
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2019 I-III,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2019 IV-VI,99.3
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2019 VII-IX,99.8
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2019 X-XII,100.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2020 I-III,99.9
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2020 IV-VI,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2020 VII-IX,100.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2020 X-XII,100.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2021 I-III,100.6
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2021 IV-VI,101.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2021 VII-IX,101.2
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2021 X-XII,102.0
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2022 I-III,102.4
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2022 IV-VI,103.7
Consumer goods and services,Territorial unit,"Furnishings, household equipment and routine maintenance of the house",ZACHODNIOPOMORSKIE,2022 VII-IX,103.8
Consumer goods and services,Territorial unit,Health,POLSKA,2010 I-III,100.9
Consumer goods and services,Territorial unit,Health,POLSKA,2010 IV-VI,100.9
Consumer goods and services,Territorial unit,Health,POLSKA,2010 VII-IX,100.7
Consumer goods and services,Territorial unit,Health,POLSKA,2010 X-XII,100.4
Consumer goods and services,Territorial unit,Health,POLSKA,2011 I-III,101.5
Consumer goods and services,Territorial unit,Health,POLSKA,2011 IV-VI,101.3
Consumer goods and services,Territorial unit,Health,POLSKA,2011 VII-IX,101.0
Consumer goods and services,Territorial unit,Health,POLSKA,2011 X-XII,102.2
Consumer goods and services,Territorial unit,Health,POLSKA,2012 I-III,99.6
Consumer goods and services,Territorial unit,Health,POLSKA,2012 IV-VI,101.0
Consumer goods and services,Territorial unit,Health,POLSKA,2012 VII-IX,100.8
Consumer goods and services,Territorial unit,Health,POLSKA,2012 X-XII,100.0
Consumer goods and services,Territorial unit,Health,POLSKA,2013 I-III,100.4
Consumer goods and services,Territorial unit,Health,POLSKA,2013 IV-VI,100.6
Consumer goods and services,Territorial unit,Health,POLSKA,2013 VII-IX,100.4
Consumer goods and services,Territorial unit,Health,POLSKA,2013 X-XII,100.3
Consumer goods and services,Territorial unit,Health,POLSKA,2014 I-III,99.0
Consumer goods and services,Territorial unit,Health,POLSKA,2014 IV-VI,100.6
Consumer goods and services,Territorial unit,Health,POLSKA,2014 VII-IX,100.4
Consumer goods and services,Territorial unit,Health,POLSKA,2014 X-XII,99.8
Consumer goods and services,Territorial unit,Health,POLSKA,2015 I-III,100.6
Consumer goods and services,Territorial unit,Health,POLSKA,2015 IV-VI,100.2
Consumer goods and services,Territorial unit,Health,POLSKA,2015 VII-IX,101.9
Consumer goods and services,Territorial unit,Health,POLSKA,2015 X-XII,99.9
Consumer goods and services,Territorial unit,Health,POLSKA,2016 I-III,98.1
Consumer goods and services,Territorial unit,Health,POLSKA,2016 IV-VI,100.5
Consumer goods and services,Territorial unit,Health,POLSKA,2016 VII-IX,99.9
Consumer goods and services,Territorial unit,Health,POLSKA,2016 X-XII,99.6
Consumer goods and services,Territorial unit,Health,POLSKA,2017 I-III,100.9
Consumer goods and services,Territorial unit,Health,POLSKA,2017 IV-VI,100.2
Consumer goods and services,Territorial unit,Health,POLSKA,2017 VII-IX,100.7
